clas_local,clas_visitante,G_esp_local,G_esp_visitante,quiniela,Posesión_local,Posesión_visitante,Pases_intento_local,Pases_buenos_local,Pases_%_local,Pases_intento_visitante,Pases_buenos_visitante,Pases_%_visitante,Disparos_puerta_intento_local,Disparos_puerta_buenos_local,Disparos_puerta_%_local,Disparos_puerta_intento_visitante,Disparos_puerta_buenos_visitante,Disparos_puerta_%_visitante,Paradas_local,Paradas_%_local,Paradas_visitante,Paradas_%_visitante,Amarillas_local,expulsion_doble_amarilla_local,expulsión_roja_directa_local,Amarillas_visitante,expulsion_doble_amarilla_visitante,expulsión_roja_directa_visitante,Faltas_local,Faltas_visitante,Saques_esquina_local,Saques_esquina_visitante,Pases_cruzados_local,Pases_cruzados_visitante,Toques_local,Toques_visitante,Derribos_local,Derribos_visitante,Intercepciones_local,Intercepciones_visitante,Duelos_aereos_ganados_local,Duelos_aereos_ganados_visitante,Despejes_local,Despejes_visitante,Fuera_juego_local,Fuera_juego_visitante,Saque_puerta_local,Saque_puerta_visitante,Saque_banda_local,Saque_banda_visitante,Pelotazos_local,Pelotazos_visitante,%_Saques_esquina_local_favor,%_Saques_esquina_visitante_favor,%_Saques_esquina_local_contra,%_Saques_esquina_visitante_contra,Árbitro_faltas_local,Árbitro_faltas_visitante,Árbitro_amarillas_local,Árbitro_amarillas_visitante,Árbitro_doble_amarilla_local,Árbitro_doble_amarilla_visitante,Árbitro_roja_directa_local,Árbitro_roja_directa_visitante,tarjetas_total_local,tarjetas_total_visitante,Árbitro_sum_tarjetas_local,Árbitro_sum_tarjetas_visitante,faltas_cometidas_local,faltas_cometidas_visitante,faltas_provocadas_local,faltas_provocadas_visitante,amarillas_cometidas_local,amarillas_cometidas_visitante,amarillas_provocadas_local,amarillas_provocadas_visitante,dobles_amarillas_cometidas_local,dobles_amarillas_cometidas_visitante,dobles_amarillas_provocadas_local,dobles_amarillas_provocadas_visitante,rojas_directas_cometida_local,rojas_directas_cometida_visitante,rojas_directas_provocadas_local,rojas_directas_provocadas_visitante,goles_marcados_local,goles_marcados_visitante,goles_recibidos_local,goles_recibidos_visitante,goles_esperados_local,goles_esperados_visitante,goles_esperados_contra_local,goles_esperados_contra_visitante,posesion_media_local,posesion_media_visitante,%_disparos_puerta_hechos_local,%_disparos_puerta_hechos_visitante,%_disparos_puerta_recibidos_local,%_disparos_puerta_recibidos_visitante,%_pases_cruzados_hechos_local,%_pases_cruzados_hechos_visitante,%_pases_cruzados_recibidos_local,%_pases_cruzados_recibidos_visitante,tarjetas_cometidas_local,tarjetas_cometidas_visitante,tarjetas_provocadas_local,tarjetas_provocadas_visitante
2,3,0.8,1.4,2,0.54,0.46,510,411,0.81,426,343,0.81,13,1,0.08,8,3,0.38,1,0.33,1,1.0,2,0,1,5,1,0,12,17,9,2,35,8,583,512,11,7,7,4,19,8,8,36,3,2,8,13,18,14,67,81,5.625,4.625,3.8125,5.0625,12.411764705882353,14.764705882352942,1.8823529411764706,3.588235294117647,0.0,0.058823529411764705,0.17647058823529413,0.17647058823529413,3,6,2.0588235294117645,3.823529411764706,12.5,15.875,14.75,14.875,2.6875,2.6875,2.875,2.5625,0.1875,0.125,0.1875,0.1875,0.1875,0.0625,0.0625,0.0625,1.1875,0.9375,1.5625,1.4375,1.4375,0.9,1.1625,1.5999999999999999,0.46125,0.485625,4.125,2.9375,3.9375,4.0625,21.5625,17.625,14.6875,20.6875,3.0625,2.875,3.125,2.8125
3,2,2.0,0.5,X,0.61,0.39,524,420,0.8,329,242,0.74,18,2,0.11,6,3,0.5,2,0.66,1,0.5,3,0,1,2,0,1,20,10,12,2,40,5,618,453,18,20,9,8,16,16,6,28,4,4,5,16,23,12,77,69,6.647058823529412,3.8823529411764706,3.235294117647059,6.176470588235294,14.25,12.75,2.1875,2.5,0.0,0.0625,0.1875,0.125,4,3,2.375,2.6875,12.117647058823529,12.294117647058824,13.352941176470589,15.117647058823529,3.0588235294117645,3.176470588235294,2.5294117647058822,1.5294117647058822,0.058823529411764705,0.11764705882352941,0.058823529411764705,0.0,0.35294117647058826,0.11764705882352941,0.17647058823529413,0.058823529411764705,1.3529411764705883,0.7058823529411765,1.3529411764705883,2.1176470588235294,1.4000000000000001,0.776470588235294,1.288235294117647,2.0470588235294116,0.5676470588235294,0.4782352941176471,4.529411764705882,2.6470588235294117,3.7058823529411766,6.705882352941177,28.941176470588236,14.294117647058824,13.588235294117647,20.88235294117647,3.4705882352941173,3.411764705882353,2.7647058823529407,1.588235294117647
3,2,2.7,1.0,1,0.55,0.45,460,342,0.74,373,265,0.71,14,1,0.07,9,2,0.22,2,1.0,1,1.0,2,0,0,5,1,0,11,13,2,2,22,9,562,498,13,15,14,7,27,16,14,30,0,1,10,11,23,23,101,87,5.1875,2.5625,3.625,5.625,12.285714285714286,11.857142857142858,1.8571428571428572,2.5714285714285716,0.0,0.2857142857142857,0.0,0.0,2,6,1.8571428571428572,2.857142857142857,14.5,15.625,12.25,13.5625,2.5,3.125,2.625,2.4375,0.0,0.25,0.25,0.125,0.1875,0.0625,0.0625,0.25,1.0625,0.625,1.1875,1.625,1.375,0.9375,1.03125,1.75625,0.515,0.393125,4.0,2.25,3.75,4.75,24.875,12.25,12.5625,26.3125,2.6875,3.4375,2.9375,2.8125
3,4,0.6,2.1,2,0.48,0.52,405,309,0.76,439,350,0.8,13,7,0.54,6,1,0.17,1,1.0,6,0.85,7,0,0,8,0,0,22,17,5,2,21,14,504,547,17,10,14,8,17,10,12,20,4,0,9,6,26,17,64,66,3.8125,3.6470588235294117,4.3125,5.882352941176471,15.058823529411764,15.0,2.6470588235294117,3.588235294117647,0.058823529411764705,0.0,0.0,0.058823529411764705,7,8,2.7058823529411766,3.6470588235294117,17.375,10.941176470588236,13.875,15.823529411764707,3.6875,2.4705882352941178,3.1875,2.411764705882353,0.0,0.17647058823529413,0.0,0.058823529411764705,0.1875,0.11764705882352941,0.125,0.17647058823529413,1.0625,1.0588235294117647,0.75,1.2941176470588236,1.1,1.211764705882353,0.89375,1.5058823529411764,0.4225,0.49411764705882355,3.3125,3.0,2.5625,4.588235294117647,18.375,13.0,18.25,20.41176470588235,3.875,2.764705882352941,3.3125,2.6470588235294112
3,5,1.4,3.7,2,0.51,0.49,581,501,0.86,565,492,0.87,14,1,0.07,14,5,0.36,2,0.4,1,1.0,2,0,0,2,0,0,12,8,2,2,23,7,677,687,13,14,7,15,8,5,11,20,0,1,5,8,13,13,43,45,5.0625,5.647058823529412,3.8125,4.9411764705882355,13.235294117647058,11.0,2.8823529411764706,2.6470588235294117,0.11764705882352941,0.11764705882352941,0.0,0.17647058823529413,2,2,3.0,2.9411764705882355,12.75,9.411764705882353,13.25,14.235294117647058,2.0625,2.0588235294117645,2.75,2.411764705882353,0.0625,0.058823529411764705,0.0625,0.058823529411764705,0.0625,0.0,0.1875,0.11764705882352941,1.375,1.7058823529411764,1.0625,1.0588235294117647,1.225,1.7941176470588236,0.93125,1.2,0.54,0.5823529411764706,4.5,4.9411764705882355,2.5625,3.823529411764706,20.1875,14.470588235294118,14.25,17.235294117647058,2.1875,2.117647058823529,3.0,2.5882352941176467
4,2,1.0,0.7,1,0.38,0.62,349,250,0.72,573,472,0.82,12,2,0.17,10,0,0.0,0,1.0,1,0.5,5,0,0,2,0,0,11,15,6,3,17,28,464,676,17,15,10,7,18,9,23,15,6,0,8,2,19,26,62,72,7.823529411764706,5.1875,2.4705882352941178,5.8125,14.055555555555555,13.333333333333334,3.0555555555555554,3.0,0.0,0.05555555555555555,0.05555555555555555,0.1111111111111111,5,2,3.111111111111111,3.1666666666666665,13.411764705882353,13.3125,10.764705882352942,12.625,2.1176470588235294,2.1875,2.411764705882353,3.0625,0.058823529411764705,0.0625,0.0,0.0,0.058823529411764705,0.125,0.0,0.375,1.1764705882352942,0.75,0.7647058823529411,1.4375,1.3882352941176472,1.20625,0.788235294117647,1.40625,0.5258823529411765,0.510625,4.176470588235294,2.9375,1.9411764705882353,4.75,27.823529411764707,23.0,13.823529411764707,17.25,2.2352941176470584,2.375,2.411764705882353,3.4375
5,4,1.6,1.8,2,0.51,0.49,527,437,0.83,511,456,0.89,13,5,0.38,19,5,0.26,3,0.6,5,1.0,2,0,1,3,0,0,8,11,5,6,30,9,619,634,18,6,2,12,12,11,11,32,2,1,7,9,16,5,46,62,6.0588235294117645,4.9411764705882355,3.2941176470588234,5.9411764705882355,9.736842105263158,10.473684210526315,2.3684210526315788,2.3684210526315788,0.05263157894736842,0.05263157894736842,0.10526315789473684,0.05263157894736842,3,3,2.526315789473684,2.473684210526316,11.470588235294118,11.176470588235293,11.647058823529411,12.941176470588236,2.235294117647059,2.176470588235294,2.411764705882353,2.0588235294117645,0.11764705882352941,0.0,0.11764705882352941,0.0,0.11764705882352941,0.058823529411764705,0.17647058823529413,0.11764705882352941,2.1176470588235294,1.1764705882352942,0.8235294117647058,1.1176470588235294,1.8058823529411765,1.1941176470588235,0.9176470588235294,1.4529411764705882,0.5499999999999999,0.5476470588235295,5.823529411764706,3.9411764705882355,2.0,4.235294117647059,20.058823529411764,12.823529411764707,14.647058823529411,20.58823529411765,2.4705882352941178,2.2352941176470584,2.705882352941176,2.176470588235294
4,5,0.8,2.1,2,0.42,0.58,419,337,0.8,587,522,0.89,10,5,0.5,15,7,0.47,3,0.42,4,0.8,2,0,0,1,0,0,15,9,3,6,10,8,517,704,25,20,5,12,8,7,12,14,5,1,4,5,18,24,36,70,4.0625,5.0625,4.1875,4.1875,14.235294117647058,12.882352941176471,3.0588235294117645,2.4705882352941178,0.17647058823529413,0.058823529411764705,0.17647058823529413,0.058823529411764705,2,1,3.411764705882353,2.588235294117647,16.4375,11.8125,13.25,12.9375,2.5625,2.8125,2.25,2.25,0.0,0.0625,0.125,0.0,0.0625,0.125,0.0625,0.1875,1.3125,1.6875,0.8125,0.5625,1.4,1.6,0.79375,0.825,0.548125,0.608125,4.25,3.8125,3.4375,2.75,13.0,16.125,13.9375,16.5625,2.625,3.0,2.4375,2.4375
1,2,1.0,0.7,X,0.54,0.46,473,378,0.8,398,315,0.79,13,3,0.23,12,7,0.58,6,0.85,2,0.66,1,0,0,4,0,1,12,16,6,5,23,12,574,502,14,11,8,11,9,7,11,23,7,3,3,14,14,17,67,49,6.5625,3.5,4.75,5.9375,15.2,13.133333333333333,3.466666666666667,2.466666666666667,0.06666666666666667,0.2,0.2,0.06666666666666667,1,5,3.7333333333333334,2.7333333333333334,14.375,11.25,11.6875,11.125,2.375,2.6875,2.375,2.25,0.125,0.0,0.1875,0.0625,0.25,0.0625,0.1875,0.125,0.9375,1.0,1.6875,2.25,1.24375,0.9875,1.58125,1.9625,0.47,0.44937499999999997,3.9375,4.0625,4.0625,6.25,23.875,15.0625,16.3125,22.375,2.75,2.75,2.75,2.4375
3,2,1.1,0.6,1,0.66,0.34,583,503,0.86,299,213,0.71,12,6,0.5,7,3,0.43,2,0.66,4,0.66,2,0,0,6,0,1,16,18,5,2,16,14,679,392,13,16,5,5,8,16,21,20,2,1,5,7,12,22,64,62,4.0588235294117645,2.5,4.0,6.0,14.75,13.25,2.625,3.25,0.125,0.1875,0.0625,0.1875,2,7,2.8125,3.625,11.117647058823529,14.5,12.411764705882353,12.375,2.2941176470588234,3.1875,2.3529411764705883,2.625,0.0,0.25,0.0,0.125,0.11764705882352941,0.0625,0.17647058823529413,0.125,1.9411764705882353,0.75,1.2941176470588236,1.5,1.5176470588235293,0.70625,1.1764705882352942,1.36875,0.5076470588235293,0.393125,5.294117647058823,2.75,3.5294117647058822,4.5625,20.352941176470587,15.0625,18.235294117647058,24.3125,2.411764705882353,3.5,2.5294117647058822,2.875
