clas_local,clas_visitante,G_esp_local,Goles_local,G_esp_visitante,Goles_visitante,quiniela,Posesión_local,Posesión_visitante,Pases_intento_local,Pases_buenos_local,Pases_%_local,Pases_intento_visitante,Pases_buenos_visitante,Pases_%_visitante,Disparos_puerta_intento_local,Disparos_puerta_buenos_local,Disparos_puerta_%_local,Disparos_puerta_intento_visitante,Disparos_puerta_buenos_visitante,Disparos_puerta_%_visitante,Paradas_local,Paradas_%_local,Paradas_visitante,Paradas_%_visitante,expulsion_doble_amarilla_local,expulsión_roja_directa_local,expulsion_doble_amarilla_visitante,expulsión_roja_directa_visitante,Saques_esquina_local,Saques_esquina_visitante,Pases_cruzados_local,Pases_cruzados_visitante,Intercepciones_local,Intercepciones_visitante,Despejes_local,Despejes_visitante,Saque_puerta_local,Saque_puerta_visitante,%_Saques_esquina_local_favor,%_Saques_esquina_visitante_favor,%_Saques_esquina_local_contra,%_Saques_esquina_visitante_contra,goles_marcados_local,goles_marcados_visitante,goles_recibidos_local,goles_recibidos_visitante,goles_esperados_local,goles_esperados_visitante,goles_esperados_contra_local,goles_esperados_contra_visitante,posesion_media_local,posesion_media_visitante,%_disparos_puerta_hechos_local,%_disparos_puerta_hechos_visitante,%_disparos_puerta_recibidos_local,%_disparos_puerta_recibidos_visitante,%_pases_cruzados_hechos_local,%_pases_cruzados_hechos_visitante,%_pases_cruzados_recibidos_local,%_pases_cruzados_recibidos_visitante
3,3,1.5,2,0.9,1,1,0.35,0.65,307,225,0.73,566,480,0.85,11,4,0.36,10,3,0.3,2,0.66,3,0.75,0,0,0,0,5,2,22,18,5,6,19,23,4,5,5.1875,2.875,3.625,5.5625,1.0625,1.125,1.1875,1.625,1.375,0.88125,1.03125,1.7125000000000001,0.515,0.5181250000000001,4.0,2.9375,3.75,4.6875,24.875,15.6875,12.5625,22.1875
3,2,0.4,2,1.1,2,X,0.6,0.4,583,469,0.8,392,284,0.72,8,3,0.38,9,1,0.11,0,0.0,1,0.33,0,0,0,0,3,3,12,13,9,22,23,18,11,5,5.0625,3.235294117647059,3.8125,6.705882352941177,1.375,1.2352941176470589,1.0625,1.8235294117647058,1.225,0.9352941176470588,0.93125,1.5941176470588236,0.54,0.3976470588235294,4.5,2.764705882352941,2.5625,5.352941176470588,20.1875,14.352941176470589,14.25,23.235294117647058
2,4,1.0,0,1.5,3,2,0.51,0.49,478,384,0.8,453,351,0.77,12,6,0.5,10,4,0.4,1,0.25,6,1.0,0,0,0,0,4,5,22,8,19,7,18,16,10,12,5.0625,4.9411764705882355,5.625,5.9411764705882355,1.125,1.1764705882352942,1.3125,1.1176470588235294,1.1625,1.1941176470588235,1.225,1.4529411764705882,0.48062499999999997,0.5476470588235295,5.0625,3.9411764705882355,3.375,4.235294117647059,20.375,12.823529411764707,19.0625,20.58823529411765
5,3,1.9,0,0.5,0,X,0.67,0.33,617,526,0.85,303,208,0.69,21,5,0.24,4,2,0.5,2,1.0,5,1.0,1,0,0,0,8,0,24,7,4,10,7,18,6,13,7.529411764705882,4.625,1.8235294117647058,5.0625,1.9411764705882353,0.9375,0.11764705882352941,1.4375,2.3058823529411767,0.9,0.6823529411764706,1.5999999999999999,0.6558823529411765,0.485625,5.9411764705882355,2.9375,1.7058823529411764,4.0625,23.294117647058822,17.625,9.588235294117647,20.6875
2,4,0.2,0,1.5,1,2,0.41,0.59,343,237,0.69,502,400,0.8,7,1,0.14,15,7,0.47,6,0.85,1,1.0,0,0,0,0,3,6,21,15,8,8,20,27,4,10,4.705882352941177,4.235294117647059,5.117647058823529,3.823529411764706,0.9411764705882353,1.2941176470588236,1.3529411764705883,0.9411764705882353,1.1352941176470588,1.2588235294117647,1.535294117647059,1.0823529411764705,0.43529411764705883,0.5511764705882354,3.1176470588235294,4.764705882352941,5.588235294117647,3.235294117647059,20.176470588235293,14.058823529411764,20.11764705882353,16.941176470588236
2,3,1.6,1,0.1,0,1,0.46,0.54,381,297,0.78,450,364,0.81,16,1,0.06,5,1,0.2,1,1.0,1,1.0,0,1,0,0,4,4,13,20,8,5,17,10,5,6,7.0,3.5,3.4705882352941178,5.375,1.411764705882353,1.1875,1.0,1.5,1.3588235294117648,1.15625,0.7823529411764706,1.475,0.556470588235294,0.509375,4.117647058823529,3.0625,2.823529411764706,4.375,26.176470588235293,16.5,13.117647058823529,22.0
2,5,0.7,1,2.1,2,2,0.33,0.67,344,277,0.81,707,629,0.89,10,6,0.6,29,15,0.52,13,0.86,5,0.83,0,0,0,0,2,15,6,24,9,8,32,3,8,5,4.529411764705882,5.647058823529412,5.9411764705882355,4.9411764705882355,1.5294117647058822,1.7058823529411764,1.2941176470588236,1.0588235294117647,1.2705882352941178,1.7941176470588236,1.5294117647058822,1.2,0.46058823529411763,0.5823529411764706,4.235294117647059,4.9411764705882355,4.470588235294118,3.823529411764706,16.764705882352942,14.470588235294118,22.176470588235293,17.235294117647058
4,3,1.6,0,0.4,0,X,0.64,0.36,536,424,0.79,303,202,0.67,23,6,0.26,6,2,0.33,2,1.0,6,1.0,0,0,0,0,7,2,37,10,4,11,15,28,4,17,7.823529411764706,3.6470588235294117,2.4705882352941178,5.294117647058823,1.1764705882352942,0.8823529411764706,0.7647058823529411,1.4705882352941178,1.3882352941176472,0.8529411764705882,0.788235294117647,1.447058823529412,0.5258823529411765,0.4029411764705882,4.176470588235294,2.411764705882353,1.9411764705882353,4.352941176470588,27.823529411764707,15.705882352941176,13.823529411764707,22.88235294117647
2,5,0.7,0,1.2,3,2,0.42,0.58,434,334,0.77,595,493,0.83,10,0,0.0,12,5,0.42,2,0.4,0,1.0,0,0,0,0,3,6,23,23,9,10,21,17,2,16,3.764705882352941,3.6875,3.9411764705882355,5.25,1.0588235294117647,1.5,1.0588235294117647,0.75,1.2,1.325,1.211764705882353,1.14375,0.42470588235294116,0.46625,3.2941176470588234,4.5,4.235294117647059,3.75,19.764705882352942,13.9375,16.823529411764707,21.9375
4,1,3.1,3,0.4,0,1,0.71,0.29,648,559,0.86,260,176,0.68,17,8,0.47,4,1,0.25,1,1.0,5,0.62,0,0,0,1,8,4,16,10,14,14,8,22,1,4,4.375,4.176470588235294,5.1875,6.411764705882353,1.375,0.5882352941176471,0.9375,2.176470588235294,1.51875,0.6941176470588236,1.11875,2.0823529411764703,0.505625,0.4076470588235294,4.3125,2.2941176470588234,3.0625,6.529411764705882,14.25,14.647058823529411,18.75,22.294117647058822
2,3,0.8,0,1.4,2,2,0.54,0.46,510,411,0.81,426,343,0.81,13,1,0.08,8,3,0.38,1,0.33,1,1.0,0,1,1,0,9,2,35,8,7,4,8,36,8,13,5.625,4.625,3.8125,5.0625,1.1875,0.9375,1.5625,1.4375,1.4375,0.9,1.1625,1.5999999999999999,0.46125,0.485625,4.125,2.9375,3.9375,4.0625,21.5625,17.625,14.6875,20.6875
3,2,2.0,1,0.5,1,X,0.61,0.39,524,420,0.8,329,242,0.74,18,2,0.11,6,3,0.5,2,0.66,1,0.5,0,1,0,1,12,2,40,5,9,8,6,28,5,16,6.647058823529412,3.8823529411764706,3.235294117647059,6.176470588235294,1.3529411764705883,0.7058823529411765,1.3529411764705883,2.1176470588235294,1.4000000000000001,0.776470588235294,1.288235294117647,2.0470588235294116,0.5676470588235294,0.4782352941176471,4.529411764705882,2.6470588235294117,3.7058823529411766,6.705882352941177,28.941176470588236,14.294117647058824,13.588235294117647,20.88235294117647
3,2,2.7,2,1.0,0,1,0.55,0.45,460,342,0.74,373,265,0.71,14,1,0.07,9,2,0.22,2,1.0,1,1.0,0,0,1,0,2,2,22,9,14,7,14,30,10,11,5.1875,2.5625,3.625,5.625,1.0625,0.625,1.1875,1.625,1.375,0.9375,1.03125,1.75625,0.515,0.393125,4.0,2.25,3.75,4.75,24.875,12.25,12.5625,26.3125
3,4,0.6,1,2.1,2,2,0.48,0.52,405,309,0.76,439,350,0.8,13,7,0.54,6,1,0.17,1,1.0,6,0.85,0,0,0,0,5,2,21,14,14,8,12,20,9,6,3.8125,3.6470588235294117,4.3125,5.882352941176471,1.0625,1.0588235294117647,0.75,1.2941176470588236,1.1,1.211764705882353,0.89375,1.5058823529411764,0.4225,0.49411764705882355,3.3125,3.0,2.5625,4.588235294117647,18.375,13.0,18.25,20.41176470588235
3,5,1.4,1,3.7,4,2,0.51,0.49,581,501,0.86,565,492,0.87,14,1,0.07,14,5,0.36,2,0.4,1,1.0,0,0,0,0,2,2,23,7,7,15,11,20,5,8,5.0625,5.647058823529412,3.8125,4.9411764705882355,1.375,1.7058823529411764,1.0625,1.0588235294117647,1.225,1.7941176470588236,0.93125,1.2,0.54,0.5823529411764706,4.5,4.9411764705882355,2.5625,3.823529411764706,20.1875,14.470588235294118,14.25,17.235294117647058
4,2,1.0,1,0.7,0,1,0.38,0.62,349,250,0.72,573,472,0.82,12,2,0.17,10,0,0.0,0,1.0,1,0.5,0,0,0,0,6,3,17,28,10,7,23,15,8,2,7.823529411764706,5.1875,2.4705882352941178,5.8125,1.1764705882352942,0.75,0.7647058823529411,1.4375,1.3882352941176472,1.20625,0.788235294117647,1.40625,0.5258823529411765,0.510625,4.176470588235294,2.9375,1.9411764705882353,4.75,27.823529411764707,23.0,13.823529411764707,17.25
5,4,1.6,0,1.8,2,2,0.51,0.49,527,437,0.83,511,456,0.89,13,5,0.38,19,5,0.26,3,0.6,5,1.0,0,1,0,0,5,6,30,9,2,12,11,32,7,9,6.0588235294117645,4.9411764705882355,3.2941176470588234,5.9411764705882355,2.1176470588235294,1.1764705882352942,0.8235294117647058,1.1176470588235294,1.8058823529411765,1.1941176470588235,0.9176470588235294,1.4529411764705882,0.5499999999999999,0.5476470588235295,5.823529411764706,3.9411764705882355,2.0,4.235294117647059,20.058823529411764,12.823529411764707,14.647058823529411,20.58823529411765
4,5,0.8,1,2.1,4,2,0.42,0.58,419,337,0.8,587,522,0.89,10,5,0.5,15,7,0.47,3,0.42,4,0.8,0,0,0,0,3,6,10,8,5,12,12,14,4,5,4.0625,5.0625,4.1875,4.1875,1.3125,1.6875,0.8125,0.5625,1.4,1.6,0.79375,0.825,0.548125,0.608125,4.25,3.8125,3.4375,2.75,13.0,16.125,13.9375,16.5625
1,2,1.0,1,0.7,1,X,0.54,0.46,473,378,0.8,398,315,0.79,13,3,0.23,12,7,0.58,6,0.85,2,0.66,0,0,0,1,6,5,23,12,8,11,11,23,3,14,6.5625,3.5,4.75,5.9375,0.9375,1.0,1.6875,2.25,1.24375,0.9875,1.58125,1.9625,0.47,0.44937499999999997,3.9375,4.0625,4.0625,6.25,23.875,15.0625,16.3125,22.375
